0,1,2
2020-12-12 18:05:18,1337820840101109762,RT @qeutglck: https://t.co/zC1toysFeM
2020-12-12 17:52:56,1337817727105441793,"Maceió ✅
Porto Alegre ✅
São Paulo ✅

chegar no aeroporto de BH e manda um doka ✅"
2020-12-12 17:44:19,1337815557769474050,nao fiz faculdade mas faço dinheiro sorrindo dormindo
2020-12-12 17:25:13,1337810754356047872,RT @sidokando: o sidoka 😍 @marigalileia https://t.co/OgfePdfqMU
2020-12-12 15:06:50,1337775927523160064,@npbrendaa ❤️
2020-12-12 03:34:27,1337601683451486208,RT @borgesog: Eu espero muito que o álbum do Flacko tenha a atenção de todos vocês ❤️
2020-12-12 02:53:46,1337591444543049729,"RT @fslmentiroza: “aqui é o doka, aqui é o sukita, aqui é o sinuka e fodase” https://t.co/rgsgjnhdS9"
2020-12-12 02:29:11,1337585257009307651,RT @zemaruuramez: É não tem como não. É INTACTOZ pra sempre. Eu queria que todas as pessoas do mundo tivesse oportunidade de te conhecer pe…
2020-12-12 02:26:24,1337584557294575617,RT @leosaantos__: meio sidoka das ideia https://t.co/raZ8auvUu3
2020-12-12 02:22:55,1337583681108586502,gostaram
2020-12-12 02:06:20,1337579507021205507,RT @qeutglck: https://t.co/sczG6uea0v
2020-12-11 23:05:35,1337534022227013635,"calma, tô chegando https://t.co/gBnr9mP01T"
2020-12-11 22:59:28,1337532480140742656,RT @qeutglck: Yunk Vino feat. Sidoka - 30 dias https://t.co/bgKrpX9RHY
2020-12-11 22:50:24,1337530201589342209,"RT @yvnkvino: “30 Dias ft. @npsidoka” Videoclipe &amp; Mixtape completa no meu canal OUT NOW❗️agora ta tudo mais do que certo pra vocês, desfru…"
2020-12-11 22:50:10,1337530140381892608,"SAIU!! FILHA DA PUTA

https://t.co/KPMSLJ0a1P"
2020-12-11 18:40:21,1337467271162322949,RT @FlowOutContext: É hj Sidoka https://t.co/bSwOmsi404
2020-12-11 16:55:45,1337440951472705537,@binreall voce é um monstro bin
2020-12-11 16:55:37,1337440917075226625,"RT @binreall: ""Olha como nós combina igual Mbappé e Neymar 
com você e com o Flamengo acostumei a ganhar"" https://t.co/st9p1Hb19C"
2020-12-11 16:47:34,1337438888558809088,tamo num hotel 5 estrelas e eu ja dormi na rua com fome fodas
2020-12-11 16:44:16,1337438060066328578,"fodase a moda
é luva verde fluorescente no seu botão"
2020-12-11 16:34:50,1337435686601969665,RT @AkaRastaOficial: 061 🏳️ https://t.co/jjOrc0mHN7
2020-12-11 16:34:39,1337435639252475904,"crushed xans on my soda
ride, ride city with ma eyez closed"
2020-12-11 16:29:04,1337434236605911041,'^
2020-12-11 16:25:41,1337433381525721090,chris parabens pela sua filha eu juro que estarei do seu lado pra sempre
2020-12-11 16:23:37,1337432865093640194,"RT @zemaruuramez: Se precisar estamos aí...
Se precisar alguém vai cair 💀..."
2020-12-11 16:18:13,1337431503408668674,"se precisar tamos aí
se precisar alguém vai cair"
2020-12-11 16:17:55,1337431427688894464,"BIXOS TÃO A SOLTA NÉ?
BIXOS TÃO NAS NOTAS NÉ
TEM QUE SER MAIS RARO
FODASE O RETORNO

@zemaruuramez 🛩🛩🛩🛩"
2020-12-11 15:57:44,1337426348223160326,especialista e não trago amassado
2020-12-11 15:37:45,1337421319827312644,RT @nuancesdenoir: essa do yunk vino com o sidoka puta que pariu cristais do trap br
2020-12-11 15:31:44,1337419807952605184,JAJA NO SEU YOUTUBE ! https://t.co/Boc4eFrWXN
2020-12-11 15:30:09,1337419406570369027,"copo com aviso de cuidado
tenho certeza que eu não morro envenenado"
2020-12-11 15:24:18,1337417934075998211,RT @sidokeira: 30 dias - Yunk vino ft. Sidoka https://t.co/r0FZlmd2fy
2020-12-11 15:21:42,1337417282188881924,@nplaryssa bom dia
2020-12-11 15:21:33,1337417241843920903,@npbrendaa a mano
2020-12-11 15:16:49,1337416050984378368,"YUNK VINO FT MAGO D LUVA DISPONIVEL NO SEU SPOTIFY

 https://t.co/2iIljFv2jL"
2020-12-11 15:15:49,1337415800626491393,RT @qeutglck: Hoje tem Sidoka no Flow Podcast 🔥 https://t.co/kaf5b16zsd
2020-12-11 15:14:50,1337415554152488960,"RT @yvnkvino: OUT NOW!!! mano, só relaxa e ouve, confia no pai, termino o ano e a trilogia de mixtapes dessa forma, espero que vocês gostem…"
2020-12-11 15:14:43,1337415525400535041,"SAIU O ALBUM INCRIVEL DO MEU IRMÃO @yvnkvino ! QUE TIVE A HONRA DE PARTICIPAR
E SE VC NÃO VIU, VAI VÊ

kita

 https://t.co/Shfeb6rVze"
2020-12-11 15:13:06,1337415118410444802,bom dia
2020-12-11 15:12:40,1337415009719242753,@marigalileia eu so doido no cê
2020-12-11 01:14:11,1337203995119661058,"5 milhões

https://t.co/qjrcCQKjKB"
2020-12-11 00:57:12,1337199723883737089,oi amanha eu https://t.co/ZMNClsc1Fp
2020-12-11 00:53:50,1337198875334021120,toda cidade que eu for vo faze uma live dano role pelas rua
2020-12-11 00:17:34,1337189750063706113,@Ochrismc parabens meu lindo
2020-12-11 00:08:22,1337187434484916226,eu não faço contas eu faço melhorar
2020-12-10 23:21:21,1337175603037036548,pessoas falando do jeito que me visto be like https://t.co/wMjdufCr1q
2020-12-10 23:17:43,1337174686124433408,@mybaddiez :/ nao
2020-12-10 23:11:15,1337173061099991040,https://t.co/crzJXOMIme
2020-12-10 22:44:44,1337166388260204544,ano novo vo d luva branca
2020-12-10 22:43:45,1337166138564882432,vo troca d luva pera
2020-12-10 22:27:07,1337161953639346176,RT @niLLSfg_: wave ou mp3
2020-12-10 21:29:00,1337147327035940866,so força deus abençoe
2020-12-10 21:25:06,1337146346386632704,RT @agatadorolee: eu realmente não entendo como pode existir alg q não ame esse cara. https://t.co/6FXfGOL2dP
2020-12-10 21:22:00,1337145566648791041,@chinegrx_zl @ecologyk_ @ecologyk_
2020-12-10 21:21:36,1337145464320299015,RT @sidoka_fc: eu vo segui é reto memo disgrama https://t.co/6ctH17Snj1
2020-12-10 20:34:09,1337133522147028999,"RT @mybaddiez: ninguém:
sidoka: só força deus abençoe"
2020-12-10 19:34:47,1337118583768428546,RT @yvnkvino: em 30 dias a gente consegue fazer MUITA coisa 🌙☎️
2020-12-10 19:27:52,1337116845158125570,"RT @yvnkvino: é o seguinte, 00h ok?"
